user_id,recommended_product_id,rating
500000001,1000003,4
500000001,1000091,5
500000001,1000003,3
500000001,1000038,5
500000001,1000046,5
500000001,1000035,2
500000001,1000069,3
500000001,1000079,3
500000001,1000022,3
500000001,1000027,5
500000002,1000042,4
500000002,1000033,3
500000002,1000038,5
500000002,1000046,2
500000002,1000046,4
500000002,1000046,2
500000002,1000038,4
500000002,1000097,5
500000002,1000071,1
500000002,1000078,4
500000003,1000050,2
500000003,1000037,5
500000003,1000079,4
500000003,1000080,1
500000003,1000079,1
500000003,1000089,3
500000003,1000050,3
500000003,1000031,2
500000003,1000017,4
500000003,1000048,4
500000004,1000100,3
500000004,1000019,4
500000004,1000025,4
500000004,1000099,1
500000004,1000096,3
500000004,1000024,5
500000004,1000043,3
500000004,1000071,5
500000004,1000001,1
500000004,1000098,2
500000005,1000022,4
500000005,1000094,1
500000005,1000067,4
500000005,1000076,2
500000005,1000067,2
500000005,1000029,1
500000005,1000012,2
500000005,1000066,5
500000005,1000021,2
500000005,1000099,4
500000006,1000069,4
500000006,1000061,4
500000006,1000042,4
500000006,1000069,5
500000006,1000069,3
500000006,1000077,1
500000006,1000038,4
500000006,1000066,2
500000006,1000041,4
500000006,1000018,2
500000007,1000066,2
500000007,1000050,4
500000007,1000080,5
500000007,1000037,2
500000007,1000037,2
500000007,1000037,4
500000007,1000057,2
500000007,1000100,2
500000007,1000011,4
500000007,1000046,4
500000008,1000044,1
500000008,1000047,5
500000008,1000010,5
500000008,1000030,2
500000008,1000034,5
500000008,1000054,2
500000008,1000030,1
500000008,1000080,4
500000008,1000064,4
500000008,1000082,4
500000009,1000015,5
500000009,1000055,1
500000009,1000060,5
500000009,1000013,5
500000009,1000027,1
500000009,1000055,1
500000009,1000072,1
500000009,1000006,1
500000009,1000075,4
500000009,1000064,3
500000010,1000072,3
500000010,1000032,1
500000010,1000060,3
500000010,1000098,3
500000010,1000060,1
500000010,1000031,3
500000010,1000063,5
500000010,1000078,2
500000010,1000042,2
500000010,1000069,1
500000011,1000074,4
500000011,1000086,1
500000011,1000064,4
500000011,1000029,2
500000011,1000067,1
500000011,1000078,5
500000011,1000022,3
500000011,1000009,4
500000011,1000081,3
500000011,1000007,3
500000012,1000007,1
500000012,1000071,3
500000012,1000082,5
500000012,1000082,3
500000012,1000059,1
500000012,1000071,5
500000012,1000007,2
500000012,1000001,3
500000012,1000092,1
500000012,1000100,2
500000013,1000085,2
500000013,1000097,4
500000013,1000026,5
500000013,1000001,3
500000013,1000087,1
500000013,1000011,4
500000013,1000016,5
500000013,1000060,4
500000013,1000052,5
500000013,1000017,5
500000014,1000084,3
500000014,1000053,5
500000014,1000053,4
500000014,1000097,5
500000014,1000087,3
500000014,1000009,3
500000014,1000009,4
500000014,1000021,2
500000014,1000045,2
500000014,1000034,5
500000015,1000059,1
500000015,1000095,5
500000015,1000059,4
500000015,1000082,4
500000015,1000082,4
500000015,1000007,4
500000015,1000007,4
500000015,1000078,3
500000015,1000064,2
500000015,1000022,4
500000016,1000046,1
500000016,1000038,1
500000016,1000035,1
500000016,1000045,1
500000016,1000046,3
500000016,1000042,1
500000016,1000061,4
500000016,1000048,5
500000016,1000041,1
500000016,1000087,3
500000017,1000027,3
500000017,1000041,1
500000017,1000032,5
500000017,1000031,1
500000017,1000013,3
500000017,1000015,2
500000017,1000013,4
500000017,1000006,3
500000017,1000062,1
500000017,1000010,4
500000018,1000035,1
500000018,1000035,1
500000018,1000049,2
500000018,1000033,4
500000018,1000061,4
500000018,1000038,2
500000018,1000049,3
500000018,1000001,1
500000018,1000022,5
500000018,1000009,1
500000019,1000036,1
500000019,1000080,3
500000019,1000008,1
500000019,1000037,2
500000019,1000093,2
500000019,1000057,4
500000019,1000057,5
500000019,1000041,1
500000019,1000052,1
500000019,1000032,3
500000020,1000012,2
500000020,1000074,5
500000020,1000086,4
500000020,1000092,2
500000020,1000078,4
500000020,1000076,3
500000020,1000092,3
500000020,1000021,1
500000020,1000045,5
500000020,1000066,4
